Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children of householder under 18 years,Total; Estimate; FAMILIES - Families - With no own children of householder under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children of householder under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children of householder under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
8600000US06390,06390,ZCTA5 06390,134,54,151083,13297,100.0,19.9,151083,13297,0.0,19.9,-,**,0.0,19.9,-,**,0.0,19.9,-,**,0.0,19.9,-,**,0.0,19.9,-,**,0.0,19.9,-,**,0.0,19.9,-,**,100.0,19.9,151083,13297,1.5,2.1,-,**,3.7,4.9,128750,45106,63.4,19.3,172583,58844,31.3,19.2,144833,11754,94,43,147500,19625,8.5,11.4,128750,6561,91.5,11.4,150333,24538,84.0,20.8,151250,33967,16.0,20.8,-,**,0.0,26.8,-,**,40,33,(X),(X),42.5,43.4,(X),(X),42.5,43.4,(X),(X),0.0,45.1,(X),(X),57.5,43.4,(X),(X),17.5,22.4,(X),(X),40.0,45.6,(X),(X),41.0,(X),(X),(X),56.4,(X),(X),(X),5.0,(X),(X),(X)
8600000US10001,10001,ZCTA5 10001,11639,506,86801,10346,67.9,3.6,102466,11708,8.0,2.5,26458,22974,0.2,0.3,(X),(X),18.1,2.6,65236,14479,0.0,0.3,-,**,2.8,1.5,(X),(X),2.8,1.2,47218,19684,11.8,2.0,38438,28846,60.8,3.2,115895,12301,6.0,1.3,56429,21859,45.0,3.6,116273,13238,31.2,3.4,76633,13748,17.8,2.0,34009,6740,3668,451,91418,12053,32.1,7.2,91824,69595,67.9,7.2,91322,14516,74.5,6.8,(X),(X),14.8,5.6,(X),(X),10.7,5.1,(X),(X),7971,524,80823,11337,47.7,4.3,(X),(X),39.3,4.0,(X),(X),8.3,2.2,(X),(X),52.3,4.3,(X),(X),38.9,4.7,(X),(X),13.4,2.4,(X),(X),24.0,(X),(X),(X),33.5,(X),(X),(X),19.6,(X),(X),(X)
8600000US10002,10002,ZCTA5 10002,33348,548,33726,3127,36.2,1.8,62639,6021,7.1,1.1,27769,5163,0.3,0.2,19038,10784,39.6,1.7,23221,2212,0.0,0.1,-,**,13.9,1.9,24773,7429,2.8,0.7,46019,7448,25.2,1.8,25084,4617,26.7,1.7,83026,6334,2.1,0.5,34698,12922,35.0,2.1,60816,3597,36.2,2.1,34924,5726,26.8,1.7,16005,1327,17572,657,34755,4544,36.3,2.5,32276,7103,63.7,2.5,35930,5059,56.9,2.7,(X),(X),32.9,2.7,(X),(X),10.2,1.7,(X),(X),15776,665,27472,3792,53.6,3.0,(X),(X),46.8,2.9,(X),(X),6.8,1.3,(X),(X),46.4,3.0,(X),(X),38.9,2.9,(X),(X),7.5,1.8,(X),(X),32.6,(X),(X),(X),36.0,(X),(X),(X),26.7,(X),(X),(X)
8600000US10003,10003,ZCTA5 10003,27487,679,98151,5628,83.1,2.0,101076,4261,2.9,1.1,65366,39382,0.1,0.1,-,**,10.3,1.4,92386,20905,0.0,0.1,-,**,1.1,0.6,21250,21014,2.5,0.7,96008,43142,6.5,1.0,60911,36810,78.7,1.9,101678,4829,4.7,0.9,50246,18074,50.8,2.2,117079,11823,27.8,1.9,100385,15483,16.6,1.5,53804,9649,7331,581,156642,18981,31.0,3.6,183021,41688,69.0,3.6,146413,19871,83.7,3.3,(X),(X),9.8,2.4,(X),(X),6.5,2.8,(X),(X),20156,849,86081,3552,51.7,2.7,81401,10860,40.7,2.5,61277,7139,11.0,2.0,141576,24772,48.3,2.7,92624,8156,36.0,2.7,76611,12310,12.3,1.9,175815,47888,23.8,(X),(X),(X),29.3,(X),(X),(X),21.7,(X),(X),(X)
8600000US10004,10004,ZCTA5 10004,1574,201,119691,15833,73.6,10.0,124798,22289,0.0,1.9,-,**,0.0,1.9,-,**,25.9,10.0,100246,32080,0.0,1.9,-,**,0.0,1.9,-,**,0.5,0.6,(X),(X),4.1,3.0,(X),(X),69.6,10.2,131250,23184,7.8,3.7,(X),(X),53.9,8.5,(X),(X),30.2,9.0,(X),(X),8.1,5.8,(X),(X),591,137,224484,52225,48.9,14.9,174441,83820,51.1,14.9,"250,000+",***,84.9,11.3,(X),(X),7.3,5.6,(X),(X),7.8,10.9,(X),(X),983,191,95444,15507,60.8,11.3,90278,15799,49.8,12.1,85484,29185,11.0,6.3,214808,76348,39.2,11.3,105804,30317,30.3,10.1,87188,29000,8.9,6.0,147228,69730,22.1,(X),(X),(X),19.8,(X),(X),(X),23.5,(X),(X),(X)
8600000US10005,10005,ZCTA5 10005,4252,396,124194,10342,70.6,6.0,130205,26943,3.8,2.9,113239,68060,0.0,0.7,-,**,22.1,6.0,101250,36261,0.0,0.7,-,**,3.3,3.1,(X),(X),0.3,0.3,"2,500-",***,4.7,2.8,(X),(X),67.7,6.1,132398,58433,10.4,4.2,64107,54309,75.4,5.1,128598,7760,12.1,3.5,164375,46676,2.1,2.1,-,**,1270,274,196011,41719,41.1,12.9,220625,74259,58.9,12.9,171518,61576,88.7,6.6,(X),(X),5.7,5.0,(X),(X),5.5,4.6,(X),(X),2982,399,109556,11235,55.6,6.9,103505,21258,39.1,8.3,85625,27769,16.5,6.1,119097,15267,44.4,6.9,121031,18754,27.9,6.1,101420,25055,16.4,5.9,182500,67651,25.2,(X),(X),(X),25.4,(X),(X),(X),24.7,(X),(X),(X)
8600000US10006,10006,ZCTA5 10006,1745,225,123691,27459,72.8,7.6,132644,27359,4.0,4.8,-,**,0.0,1.7,-,**,19.2,6.3,103558,40572,0.0,1.7,-,**,1.6,2.5,-,**,2.4,1.8,(X),(X),6.4,4.2,87679,61756,68.0,8.0,133798,26580,8.9,4.4,(X),(X),73.9,7.4,(X),(X),17.2,7.0,(X),(X),0.0,1.7,(X),(X),453,123,141369,76393,47.9,17.0,122279,37583,52.1,17.0,206591,108691,79.9,14.9,176500,94307,9.9,9.6,128359,8340,10.2,10.7,-,**,1292,206,103023,34723,59.1,9.5,77974,24923,49.2,10.0,70571,30046,9.8,5.9,138203,75995,40.9,9.5,202417,83688,22.8,9.3,200417,144904,18.1,7.9,"250,000+",***,21.2,(X),(X),(X),15.0,(X),(X),(X),21.4,(X),(X),(X)
8600000US10007,10007,ZCTA5 10007,2781,229,"250,000+",***,80.8,4.8,"250,000+",***,0.6,1.0,-,**,0.0,1.1,-,**,18.3,4.8,"250,000+",***,0.0,1.1,-,**,0.0,1.1,-,**,0.3,0.6,-,**,2.6,1.9,(X),(X),78.2,5.2,"250,000+",***,0.6,0.7,41667,22320,59.4,6.0,"250,000+",***,34.4,5.8,"250,000+",***,5.6,2.9,87833,83781,1428,187,"250,000+",***,54.7,9.0,"250,000+",***,45.3,9.0,"250,000+",***,92.1,4.7,(X),(X),7.9,4.7,(X),(X),0.0,2.1,(X),(X),1353,214,155665,36152,41.5,9.1,(X),(X),32.8,8.2,(X),(X),8.7,5.1,(X),(X),58.5,9.1,(X),(X),40.9,9.4,(X),(X),17.5,7.1,(X),(X),15.7,(X),(X),(X),14.4,(X),(X),(X),17.1,(X),(X),(X)
8600000US10009,10009,ZCTA5 10009,29770,465,59090,5355,66.0,2.1,80759,5200,7.2,1.2,19951,9100,0.2,0.2,70481,20168,13.4,1.5,41337,10468,0.0,0.1,-,**,10.2,1.2,21127,6145,2.9,0.8,45540,15588,20.9,1.7,27063,3406,56.4,2.2,90788,9655,5.6,1.1,41558,36458,39.0,2.1,90985,13305,35.8,1.9,47752,6991,19.6,1.7,29124,3672,10991,774,58913,7933,34.3,4.2,58502,13795,65.7,4.2,59948,15197,54.6,4.5,105057,18320,37.5,4.3,31294,5480,7.9,2.9,34529,15966,18779,790,58095,8830,55.1,3.8,(X),(X),43.0,3.5,(X),(X),12.1,2.0,(X),(X),44.9,3.8,(X),(X),34.2,3.7,(X),(X),10.7,2.8,(X),(X),24.5,(X),(X),(X),25.2,(X),(X),(X),24.1,(X),(X),(X)
8600000US10010,10010,ZCTA5 10010,16050,639,101718,7116,74.4,3.2,104653,8668,4.8,1.7,(X),(X),0.4,0.4,-,**,16.5,2.7,112031,33057,0.0,0.2,-,**,2.4,1.3,(X),(X),1.5,0.8,103585,33486,8.5,2.4,(X),(X),67.8,3.7,107480,11298,7.0,1.6,65234,18689,49.5,3.2,128653,6480,26.0,2.7,101081,28325,17.4,2.4,50448,14763,4482,453,154000,35793,31.2,5.0,193750,67397,68.8,5.0,150492,28183,76.3,6.0,(X),(X),19.5,6.0,(X),(X),4.2,2.4,(X),(X),11568,654,86075,9660,55.4,5.1,(X),(X),45.2,4.7,(X),(X),10.2,2.9,(X),(X),44.6,5.1,(X),(X),32.2,4.3,(X),(X),12.4,2.9,(X),(X),23.6,(X),(X),(X),25.0,(X),(X),(X),23.1,(X),(X),(X)
8600000US10011,10011,ZCTA5 10011,29762,985,109818,7540,82.8,2.0,115658,8732,2.7,0.9,31449,6878,0.1,0.1,-,**,10.4,1.7,125923,35368,0.0,0.1,-,**,1.6,0.8,26450,14961,2.3,0.8,105369,42782,8.2,1.4,49417,14857,77.0,2.0,120337,9635,2.6,0.7,43438,9106,48.9,2.3,136147,10544,29.7,2.1,111390,20657,18.8,1.6,53121,6347,9004,730,178875,17451,37.8,4.5,186272,44639,62.2,4.5,176007,14868,78.2,4.0,(X),(X),16.3,3.8,(X),(X),5.5,2.0,(X),(X),20758,965,92359,9898,49.1,3.0,76423,11577,42.7,2.9,69417,14330,6.4,1.4,141473,33612,50.9,3.0,106535,10001,37.8,2.8,86479,10618,13.1,2.0,210395,39404,22.3,(X),(X),(X),28.9,(X),(X),(X),19.3,(X),(X),(X)
8600000US10012,10012,ZCTA5 10012,12470,442,100859,5399,77.9,2.8,106008,7454,3.4,1.4,99667,57949,0.1,0.2,-,**,12.7,2.0,67120,19537,0.0,0.2,-,**,2.6,1.3,(X),(X),3.2,1.3,(X),(X),5.5,1.6,63929,18809,74.5,3.1,108605,9312,6.4,1.3,53261,23505,49.8,2.8,126723,10875,27.0,2.4,79826,13444,16.8,1.7,50804,19232,3599,352,149313,15029,32.6,4.7,198594,55359,67.4,4.7,130203,25646,82.9,4.5,(X),(X),11.0,4.1,(X),(X),6.1,3.3,(X),(X),8871,466,84274,9473,45.1,3.7,(X),(X),33.1,3.6,(X),(X),12.1,2.8,(X),(X),54.9,3.7,(X),(X),44.4,3.7,(X),(X),10.5,2.2,(X),(X),25.1,(X),(X),(X),33.8,(X),(X),(X),21.4,(X),(X),(X)
8600000US10013,10013,ZCTA5 10013,11558,507,96667,17159,58.0,3.0,161282,27674,2.6,0.9,(X),(X),0.2,0.3,-,**,35.4,3.2,32993,6404,0.0,0.3,-,**,1.4,0.9,125821,26943,2.4,0.9,75329,21053,5.4,1.5,86053,61531,54.4,3.1,173553,24798,2.0,0.8,(X),(X),46.9,3.2,(X),(X),27.8,2.7,(X),(X),23.3,2.4,(X),(X),5728,526,117453,14115,45.1,4.7,247663,79960,54.9,4.7,99076,20860,79.6,3.3,(X),(X),13.8,3.1,(X),(X),6.6,2.6,(X),(X),5830,464,73828,16273,58.2,4.3,53260,7692,48.7,4.1,42059,12993,9.6,2.8,146987,17236,41.8,4.3,118920,29643,30.4,4.6,81500,27803,11.4,3.3,215030,78435,30.2,(X),(X),(X),35.4,(X),(X),(X),25.1,(X),(X),(X)
8600000US10014,10014,ZCTA5 10014,18786,671,113973,10369,90.2,1.7,114525,11692,0.9,0.6,170000,46793,0.2,0.2,-,**,5.6,1.3,104444,88312,0.0,0.2,-,**,1.2,0.7,41127,12686,1.9,1.0,126637,58743,6.2,1.6,73370,46513,84.6,2.3,115439,12775,2.2,0.7,74239,15994,51.9,2.9,145625,19773,28.9,2.3,106910,20825,17.0,1.7,54831,9164,4285,447,184570,25349,37.1,4.3,224922,51110,62.9,4.3,166635,16325,86.1,3.6,201362,20125,8.8,2.6,101111,52850,5.1,2.5,116080,32635,14501,724,92307,6598,47.6,3.2,86057,7092,39.2,3.3,76025,9205,8.4,2.1,151114,12134,52.4,3.2,105152,19203,40.1,3.0,91145,9736,12.3,2.3,221484,41403,21.1,(X),(X),(X),30.1,(X),(X),(X),18.2,(X),(X),(X)
8600000US10016,10016,ZCTA5 10016,28390,961,104826,5131,74.8,2.4,106805,5784,2.8,1.1,(X),(X),0.0,0.1,-,**,17.6,2.0,104851,17548,0.0,0.1,-,**,2.5,1.2,(X),(X),2.3,0.9,112839,27158,8.3,1.6,80195,52640,69.2,2.5,108568,5701,6.2,1.2,66098,19916,48.6,2.6,125573,10038,27.3,2.5,99034,6653,17.9,2.0,52202,12172,7958,733,163077,18587,33.4,4.7,171917,35457,66.6,4.7,153586,21853,83.0,5.5,(X),(X),13.1,5.0,(X),(X),3.9,2.8,(X),(X),20432,995,89256,7200,53.8,2.8,(X),(X),44.2,3.0,(X),(X),9.6,1.6,(X),(X),46.2,2.8,(X),(X),36.2,3.0,(X),(X),10.0,1.8,(X),(X),22.3,(X),(X),(X),26.8,(X),(X),(X),20.6,(X),(X),(X)
8600000US10017,10017,ZCTA5 10017,10157,665,106421,12463,72.9,3.8,113116,12762,2.2,1.1,76622,22439,0.0,0.3,-,**,22.4,3.8,103036,26281,0.0,0.3,-,**,0.8,0.7,(X),(X),1.7,0.9,140104,128390,6.0,2.1,99310,44759,67.5,4.0,113349,13452,4.9,1.5,69226,22452,46.3,4.5,120707,14169,27.7,3.3,124504,14511,21.0,3.2,58125,25369,2984,392,174848,41101,21.8,6.1,155270,59067,78.2,6.1,190134,38960,80.2,6.6,(X),(X),10.1,4.6,(X),(X),9.7,4.9,(X),(X),7173,610,81934,10003,58.4,5.4,(X),(X),50.6,5.7,(X),(X),7.8,2.8,(X),(X),41.6,5.4,(X),(X),35.6,5.0,(X),(X),6.0,2.5,(X),(X),24.1,(X),(X),(X),30.0,(X),(X),(X),21.2,(X),(X),(X)
8600000US10018,10018,ZCTA5 10018,4712,280,105500,11540,62.6,4.5,115192,23386,6.6,2.5,59904,33438,0.5,0.6,-,**,24.5,3.8,102457,21088,0.0,0.6,-,**,2.0,1.3,25952,3693,3.9,1.8,(X),(X),15.1,3.5,51667,22531,50.9,4.2,138750,29414,8.3,2.1,62143,23224,67.4,3.7,113393,15240,19.5,3.3,93224,69510,4.8,1.5,54038,39435,1049,210,115179,42442,35.2,8.3,97788,76658,64.8,8.3,128889,53603,73.8,7.8,(X),(X),20.8,7.4,(X),(X),5.4,3.3,(X),(X),3663,277,101691,10850,47.3,5.5,(X),(X),31.6,4.7,(X),(X),15.6,4.1,(X),(X),52.7,5.5,(X),(X),30.6,5.0,(X),(X),22.2,4.8,(X),(X),27.8,(X),(X),(X),35.2,(X),(X),(X),25.6,(X),(X),(X)
8600000US10019,10019,ZCTA5 10019,23146,806,94022,5480,74.9,2.5,97958,3875,5.2,1.6,38929,16480,0.4,0.3,(X),(X),14.0,1.7,106307,22986,0.0,0.1,-,**,2.9,1.0,39182,16530,2.6,0.9,69279,39139,13.3,1.7,41397,11922,66.3,2.7,102195,4980,2.6,0.7,30547,25706,47.1,3.1,127100,9315,29.8,2.6,87076,19352,20.5,2.3,44718,13378,6255,519,137399,28398,27.3,4.1,156857,61731,72.7,4.1,127440,26217,76.8,4.0,(X),(X),14.9,3.3,(X),(X),8.3,3.9,(X),(X),16891,866,80844,8935,49.0,3.6,61824,8738,43.0,3.7,52288,14254,6.0,1.6,129879,31737,51.0,3.6,98755,5073,38.8,3.4,81883,15002,12.2,2.0,172250,40041,24.1,(X),(X),(X),28.2,(X),(X),(X),22.5,(X),(X),(X)
8600000US10020,10020,ZCTA5 10020,0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,0,11,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),-,(X),(X),(X),-,(X),(X),(X)
8600000US10021,10021,ZCTA5 10021,23739,1133,115076,13697,87.2,2.7,116350,16605,1.5,1.0,80864,35026,0.0,0.1,-,**,8.6,2.2,144737,45216,0.1,0.1,-,**,1.4,1.1,(X),(X),1.3,0.7,61695,19056,5.7,1.7,90633,39638,83.2,2.9,116479,16335,2.0,1.0,56194,18789,43.4,3.2,126833,14645,28.0,2.4,129661,55691,26.6,2.5,86504,24284,9431,849,229975,22071,42.8,5.5,"250,000+",***,57.2,5.5,195849,41810,82.6,4.8,(X),(X),12.8,4.4,(X),(X),4.6,2.5,(X),(X),14308,1013,75575,7147,62.0,4.7,(X),(X),54.8,5.2,(X),(X),7.2,2.6,(X),(X),38.0,4.7,(X),(X),30.5,4.1,(X),(X),7.5,2.7,(X),(X),30.0,(X),(X),(X),33.3,(X),(X),(X),27.5,(X),(X),(X)
8600000US10022,10022,ZCTA5 10022,17892,660,126378,8059,86.2,2.5,126622,8149,2.0,1.2,(X),(X),0.2,0.2,"250,000+",***,9.6,2.0,150000,34499,0.0,0.2,-,**,0.8,0.6,82275,23341,1.2,0.6,(X),(X),3.5,0.9,135833,111865,83.4,2.7,126108,8674,2.2,0.8,77917,6317,35.3,3.0,139633,15491,29.0,3.1,151536,46310,33.5,2.6,76686,27940,5998,557,245941,22262,28.4,4.2,"250,000+",***,71.6,4.2,196645,40005,92.1,2.5,(X),(X),7.5,2.4,(X),(X),0.4,0.6,(X),(X),11894,649,91457,7882,62.0,4.5,(X),(X),52.9,4.9,(X),(X),9.0,2.1,(X),(X),38.0,4.5,(X),(X),30.9,3.9,(X),(X),7.2,2.7,(X),(X),26.8,(X),(X),(X),31.0,(X),(X),(X),24.4,(X),(X),(X)
8600000US10023,10023,ZCTA5 10023,32755,1181,111478,10254,85.1,1.7,119996,8328,3.0,0.9,25948,21685,0.2,0.2,38344,36754,9.2,1.6,100594,17592,0.0,0.1,-,**,1.3,0.6,(X),(X),1.1,0.4,(X),(X),8.1,1.3,61758,25457,78.9,1.9,123140,7436,1.8,0.6,(X),(X),37.9,2.4,(X),(X),34.3,2.6,(X),(X),25.9,2.3,(X),(X),12348,810,192054,19551,41.9,3.7,"250,000+",***,58.1,3.7,154940,26958,81.8,3.4,(X),(X),13.2,3.1,(X),(X),5.0,1.6,(X),(X),20407,1188,85692,6994,58.7,3.4,(X),(X),52.3,3.4,(X),(X),6.4,1.7,(X),(X),41.3,3.4,(X),(X),32.2,3.1,(X),(X),9.2,2.2,(X),(X),25.4,(X),(X),(X),25.3,(X),(X),(X),25.5,(X),(X),(X)
8600000US10024,10024,ZCTA5 10024,28675,978,113839,5687,84.3,2.1,122210,8059,5.5,1.2,27407,11595,0.0,0.1,-,**,6.5,1.4,86875,46479,0.0,0.1,-,**,1.4,0.6,(X),(X),2.4,1.1,86172,78053,9.7,1.7,52212,27047,78.2,2.3,124167,9772,1.8,0.5,51065,8771,36.4,2.2,133910,21925,36.5,2.4,131884,16377,25.3,1.8,62163,10800,12764,858,179746,16307,45.0,3.8,213077,51215,55.0,3.8,155338,9536,82.7,3.2,(X),(X),11.5,2.9,(X),(X),5.9,2.4,(X),(X),15911,978,72045,7607,62.9,3.2,(X),(X),56.9,3.0,(X),(X),6.0,1.7,(X),(X),37.1,3.2,(X),(X),26.8,3.2,(X),(X),10.3,2.6,(X),(X),27.5,(X),(X),(X),33.2,(X),(X),(X),22.6,(X),(X),(X)
